GENRE;ORDER;SPECIES;QUALITY;SOURCE;INFO1;INFO2;INFO3
Crustacea;Copepoda;Hemirhabdus;;Oba,2021;Heterorhabdidae;;
Crustacea;Copepoda;Neorhabdus;;Oba,2021;Heterorhabdidae;Hemirhabduslatus;Neorhabduslatus
Crustacea;Copepoda;Heterorhabdus;;Oba,2021;Heterorhabdidae;;
Crustacea;Copepoda;Heterostylites;;Oba,2021;Heterorhabdidae;;
Crustacea;Copepoda;Gaussia;;Oba,2021;Metridiidae;;
Crustacea;Copepoda;Metridia;;Oba,2021;Metridiidae;;
Crustacea;Copepoda;Pleuromamma;;Oba,2021;Metridiidae;;
Crustacea;Copepoda;Megacalanus;;Oba,2021;;;
Crustacea;Copepoda;Aegisthus;;Oba,2021;Harpacticoida;;
Crustacea;Copepoda;Oncaea;;Oba,2021;Cyclopoida;;
Crustacea;Ostracoda(Myodocopida);Cypridina;;Oba,2021;;;
Crustacea;Ostracoda(Myodocopida);Vargula;;Oba,2021;;;
Crustacea;Ostracoda(Myodocopida);Photeros;;Haddocketal.,2010;;;
Crustacea;Ostracoda(Myodocopida);Sheina;;Haddocketal.,2010;Cohenetal.2000.SmithonianContributiontoZoology605.;;
Crustacea;Ostracoda(Myodocopida);Enewton;;Haddocketal.,2010;;;
Crustacea;Ostracoda(Myodocopida);Kornickeria;;Haddocketal.,2010;;;
Crustacea;Ostracoda(Myodocopida);Maristella;;Redaetal.,2019.Zool.J.Linn.Soc.20,1-41.;;;
Crustacea;Ostracoda(Halocyprida);Conchoecia;;Nigroetal.2016;;;
Crustacea;Ostracoda(Halocyprida);Alacia;;Nigroetal.2016;WORMS;Halocyprididae;
Crustacea;Ostracoda(Halocyprida);Conchoecetta;;Nigroetal.2016;Halocyprididae;;
Crustacea;Ostracoda(Halocyprida);Conchoecilla;;Nigroetal.2016;Halocyprididae;;
Crustacea;Ostracoda(Halocyprida);Conchoecissa;;Nigroetal.2016;Halocyprididae;;
Crustacea;Ostracoda(Halocyprida);Discoconchoecia;;Nigroetal.2016;Halocyprididae;;
Crustacea;Ostracoda(Halocyprida);Hyalocoecia;;Oba,2021;Halocyprididae;;
